,Prediction_Value,Lower_Bound_95,Upper_Bound_95,Lower_Bound_68,Upper_Bound_68,ID,EQUIPMENT_NO,VALUE
1521577,6210.7028575000004,5060.9078604999995,7360.4978554999998,5637.5472975000002,6783.8584174999996,2065500.0,21.0,5590.8874506999991
1521578,6084.8983989999997,4935.1034020000006,7234.693397,5511.7428390000005,6658.0539589999998,2065506.0,21.0,5642.8505869000001
1521579,5994.7804274999999,4844.9854300000006,7144.575425,5421.6248675000006,6567.9359875,2065512.0,21.0,5587.6967773000006
1521580,5733.3111410000001,4166.5552375000007,7300.0670449999998,4952.306823500001,6514.3154589999995,2065518.0,21.0,5346.3160703000003
1521581,5368.2639644999999,3801.5080605000003,6935.0198684999996,4587.2596470000008,6149.268282,2065524.0,21.0,4852.6444694000002
1521582,5110.4464284999995,3543.6905244999998,6677.2023325,4329.4421110000003,5891.4507460000004,2065530.0,21.0,4783.6985472999995
1521583,4905.8850564999993,3339.1291529999999,6472.6409604999999,4124.8807390000002,5686.8893744999996,2065536.0,21.0,4700.9282838000008
1521584,4821.7219015000001,3317.9547080000002,6325.4890945000006,4072.1165110000002,5571.3272914999998,2065542.0,21.0,4611.2284547999998
1521585,4731.5500080000002,3227.7828140000001,6235.3172009999998,3981.9446175000003,5481.155397999999,2065548.0,21.0,4549.2363581999998
1521586,4653.3219174999995,3149.5547244999998,6157.0891109999993,3903.7165274999998,5402.9273080000003,2065554.0,21.0,4512.6123356999997
1521587,4613.7129640000003,3109.9457705,6117.4801575000001,3864.1075734999999,5363.318354,2065560.0,21.0,4561.8571166000002
1521588,4202.2475309999991,2842.693111,5561.8019509999995,3524.530045,4879.9650170000004,2065566.0,21.0,4463.2266539000002
1521589,4008.9237910000002,2649.3693710000002,5368.4782109999996,3331.2063054999999,4686.6412770000006,2065572.0,21.0,4080.5397644
1521590,3853.5034930000002,2493.9490729999998,5213.0579130000006,3175.7860070000002,4531.2209789999997,2065578.0,21.0,3854.5538024999996
1521591,3679.7091330000003,2320.1547129999999,5039.2635529999998,3001.9916475,4357.4266189999998,2065584.0,21.0,3713.5327759000002
1521592,3441.774707,2547.0437810000003,4336.5056334999999,2995.7647605000002,3887.7846534999999,2065590.0,21.0,3753.8600463999996
1521593,3393.9547155,2499.2237890000001,4288.6856420000004,2947.9447690000002,3839.9646619999999,2065596.0,21.0,3557.7371521999994
1521594,3375.5976120000005,2480.8666860000003,4270.3285379999998,2929.5876660000004,3821.6075579999997,2065602.0,21.0,3601.3301392000003
1521595,3343.8703265000004,2449.1394005000002,4238.6012524999996,2897.8603805000002,3789.8802725000005,2065608.0,21.0,3432.2863159000003
1521596,3330.8005665000001,2704.4364925,3957.1646415000005,3018.5674705000001,3643.0336635000003,2065614.0,21.0,3380.8927154999997
1521597,3303.270278,2676.9062034999997,3929.6343530000004,2991.037182,3615.5033745000001,2065620.0,21.0,3220.0913543999995
1521598,3272.9093895000001,2646.5453145000001,3899.2734639999999,2960.6762930000004,3585.1424855,2065626.0,21.0,3307.6787720000002
1521599,3232.4701004999997,2606.1060259999999,3858.8341755000001,2920.2370045000002,3544.7031970000003,2065632.0,21.0,3235.8690643
1521600,2985.720605,2415.0812989999999,3556.3599115000002,2701.2654705,3270.1757400000001,2065638.0,21.0,3193.0052946000001
1521601,2955.925835,2385.286529,3526.5651409999996,2671.4707005,3240.3809700000002,2065644.0,21.0,2854.6372679999999
1521602,2932.7878664999998,2362.1485604999998,3503.4271724999999,2648.3327315000001,3217.2430015,2065650.0,21.0,2810.8012238000001
1521603,2890.6284905000002,2319.9891850000004,3461.267797,2606.1733559999998,3175.0836254999999,2065656.0,21.0,2770.4645386000002
1521604,2889.9605725000001,2478.3428535000003,3301.5782915,2684.7753140000004,3095.1458309999998,2065662.0,21.0,2567.9216156999996
1521605,2838.4551794999998,2426.8374604999999,3250.0728985000001,2633.2699210000001,3043.6404385000001,2065668.0,21.0,2614.2089385999998
1521606,2795.5525564999998,2383.9348375,3207.1702750000004,2590.3672974999999,3000.7378154999997,2065674.0,21.0,2588.1150054999998
1521607,2755.4781935000001,2343.8604740000001,3167.0959119999998,2550.2929345000002,2960.6634519999998,2065680.0,21.0,2739.0269013000002
1521608,2775.3763785000001,2480.6292064999998,3070.1235509999997,2628.4493345000001,2922.3034230000003,2065686.0,21.0,2534.2166443000001
